boxer_name,rank,debut,wins,losses,draws,wko,lko,owp20
Wladimir Klitschko,1,1996,18,2,0,11,2,0.969
Antonio Tarver,8,1997,15,5,0,7,0,0.913
Steve Cunningham,13,2000,13,7,0,2,1,0.895
Chris Arreola,18,2003,15,4,0,13,1,0.888
Alexander Povetkin,2,2005,19,1,0,13,0,0.886
Ruslan Chagaev,21,1997,17,2,1,6,0,0.873
Fres Oquendo,36,1997,12,8,0,6,2,0.860
Bryant Jennings,9,2010,7,1,0,2,0,0.823
Tony Thompson,7,2000,17,3,0,11,2,0.817
Odlanier Solis,26,2007,15,3,0,10,1,0.803
Kubrat Pulev,6,2009,13,1,0,5,1,0.800
Eddie Chambers,50,2000,18,2,0,7,1,0.785
Andy Ruiz Jr,14,2009,7,0,0,5,0,0.784
Dominic Breazeale,44,2012,5,0,0,4,0,0.769
Kali Meehan,30,1997,15,5,0,12,2,0.758
Johnathon Banks,34,2004,16,3,1,10,2,0.742
Artur Szpilka,16,2008,12,0,0,6,0,0.736
Derric Rossy,41,2004,13,6,0,4,4,0.734
Manuel Charr,40,2005,17,3,0,6,2,0.730
Joseph Parker,22,2012,5,0,0,3,0,0.730
Alex Leapai,43,2004,16,4,0,13,2,0.723
Robert Helenius,35,2008,13,0,0,7,0,0.723
Vyacheslav Glazkov,5,2009,15,0,1,4,0,0.712
Tyson Fury,3,2008,15,0,0,7,0,0.707
Malik Scott,24,2000,18,2,0,3,2,0.703
Denis Boytsov,32,2004,19,1,0,12,0,0.693
Deontay Wilder,4,2008,17,0,0,14,0,0.687
Dereck Chisora,17,2007,13,3,0,7,1,0.687
Matias Ariel Vidondo,29,2010,5,0,0,3,0,0.682
Alexander Ustinov,31,2005,18,0,0,10,0,0.681
Charles Martin,37,2012,5,0,1,4,0,0.668
Bermane Stiverne,10,2005,13,2,1,10,1,0.668
Amir Mansour,27,1997,10,1,0,8,0,0.665
David Price,25,2009,13,2,0,10,2,0.650
Andrey Fedosov,28,2003,10,1,0,9,0,0.647
Anthony Joshua,20,2013,7,0,0,7,0,0.645
Erkan Teper,15,2010,10,0,0,5,0,0.645
Mariusz Wach,48,2005,14,1,0,9,0,0.633
Marcin Rekowski,39,2012,7,1,0,4,0,0.630
Mike Perez,11,2008,12,0,1,6,0,0.626
Lucas Browne,19,2009,10,0,0,6,0,0.620
Luis Ortiz,49,2010,13,0,0,10,0,0.616
Francesco Pianeta,42,2005,16,1,1,5,1,0.615
Carlos Takam,12,2005,17,1,1,11,1,0.613
Christian Hammer,23,2008,12,3,0,7,1,0.610
Gerald Washington,38,2012,7,0,0,4,0,0.603
Joey Dawejko,47,2009,2,0,0,1,0,0.600
Eric Molina,45,2007,12,1,0,7,1,0.554
Arnold Gjergjaj,46,2009,9,0,0,6,0,0.542
Johann Duhaupas,33,2004,13,0,0,9,0,0.390
