BEGIN
                name                 |   str   
 Eduardo Torres                      |  310.43
 Francy Ntetu                        |  309.14
 Jamal James                         |  307.82
 Oleksandr Usyk                      |  305.27
 Anthony Yigit                       |  301.89
 Robert Guerrero                     |  301.83
 Sullivan Barrera                    |  301.31
 Andy Lee                            |  300.45
 Sergey Ekimov                       |  298.42
 Mairis Briedis                      |  297.52
 Knockout CP Freshmart               |  297.49
 Ik Yang                             |  295.66
 Ryosuke Iwasa                       |  294.68
 Luis Nery                           |  294.08
 Dominic Breazeale                   |  291.45
 Ryo Matsumoto                       |  289.97
 Karim Mayfield                      |  285.81
 Marcos Rene Maidana                 |  285.71
 Steve Cunningham                    |  285.16
 Edivaldo Ortega                     |  285.05
 Felix Verdejo                       |  284.59
 Jack Catterall                      |  284.42
 Joseph Diaz                         |  282.95
 Ivan Morales                        |  280.97
 Antonio Orozco                      |  280.41
 Manuel Charr                        |  278.44
 Gary Russell Jr                     |  277.93
 Willie Nelson                       |  274.43
 Moruti Mthalane                     |  272.87
 Mike Perez                          |  272.62
 Bermane Stiverne                    |  272.30
 Jean Pascal                         |  272.22
 Dereck Chisora                      |  269.83
 Charles Martin                      |  266.08
 Antoine Douglas                     |  265.52
 Albert Pagara                       |  263.82
 Matt Korobov                        |  261.90
 Kevin Mitchell                      |  257.57
 Jesus Marcelo Andres Cuellar        |  257.06
 Nikolay Potapov                     |  257.00
 Johann Duhaupas                     |  255.25
 Jarrett Hurd                        |  254.29
 Brandon Gonzales                    |  254.05
 Derrick Webster                     |  253.53
 Stephen Smith                       |  253.09
 Braimah Kamoko                      |  252.84
 William Fernando Souza Bezerra      |  251.69
 Paipharob Kokietgym                 |  250.39
 Eddie Chambers                      |  250.08
 Wale Omotoso                        |  245.92
 Blake Caparello                     |  245.88
 Anton Novikov                       |  244.99
 Vincent Legrand                     |  243.71
 Bernard Hopkins                     |  243.60
 Anselmo Moreno                      |  242.24
 Takashi Miura                       |  240.56
 Mike Alvarado                       |  239.06
 Michal Syrowatka                    |  238.92
 Milan Melindo                       |  238.32
 Roman Martinez                      |  237.86
 Fernando Montiel                    |  236.77
 Malik Scott                         |  235.42
 Dennis Hogan                        |  232.93
 Noel Gevor                          |  232.39
 Jezreel Corrales                    |  231.73
 Oscar Rivas                         |  230.82
 Erickson Lubin                      |  230.56
 Rex Tso                             |  230.48
 Kosei Tanaka                        |  230.43
 Badou Jack                          |  230.27
 Bogdan Dinu                         |  230.13
 Dmytro Kucher                       |  229.75
 Dominic Wade                        |  228.76
 Horacio Garcia                      |  228.75
 Samir Mouneimne                     |  227.78
 Diego Gabriel Chaves                |  227.47
 Toka Kahn Clary                     |  227.06
 Glenn Foot                          |  226.75
 Micki Nielsen                       |  226.55
 Glen Tapia                          |  225.34
 Dwight Ritchie                      |  225.06
 Rafik Harutjunjan                   |  224.78
 Chad Dawson                         |  223.36
 Thabiso Mchunu                      |  222.72
 Victor Emilio Ramirez               |  220.42
 Antonio DeMarco                     |  218.91
 Hugo Centeno Jr                     |  218.85
 Chris Arreola                       |  218.66
 Francisco Santana                   |  218.35
 Denis Shafikov                      |  218.13
 Nate Green                          |  217.30
 Brian Carlos Castano                |  216.91
 Yunieski Gonzalez                   |  216.80
 Andrey Meryasev                     |  216.74
 Vasyl Lomachenko                    |  216.27
 Umar Salamov                        |  215.79
 Mateusz Masternak                   |  215.06
 Masayuki Ito                        |  214.70
 Luke Campbell                       |  213.91
 Marcus Browne                       |  213.45
 Jack Culcay                         |  211.83
 Oscar Escandon                      |  210.79
 Billy Dib                           |  210.02
 Maxim Vlasov                        |  209.78
 Damian Jonak                        |  208.61
 Diego Magdaleno                     |  208.54
 Patrick Nielsen                     |  207.91
 Manuel Avila                        |  207.90
 Giovanni Santillan                  |  207.59
 Antonin Decarie                     |  206.71
 Michel Soro                         |  205.42
 Oscar Valdez                        |  205.26
 Satoshi Hosono                      |  205.25
 Egor Mekhontsev                     |  205.01
 Terrell Gausha                      |  204.71
 Ryo Akaho                           |  204.04
 Mike Reed                           |  203.85
 Gilmer Baules                       |  203.14
 Christopher Pearson                 |  201.23
 Vyacheslav Senchenko                |  201.06
 Arsen Goulamirian                   |  200.89
 Anthony Mundine                     |  200.42
 Carlos Zambrano                     |  200.34
 Robert Stieglitz                    |  199.48
 Lateef Kayode                       |  198.84
 Youri Kayembre Kalenga              |  198.63
 Newfel Ouatah                       |  198.44
 Ilunga Makabu                       |  198.38
 Ryno Liebenberg                     |  197.65
 Haskell Rhodes                      |  197.23
 Chris van Heerden                   |  197.12
 AJ Banal                            |  195.80
 Casey Ramos                         |  195.37
 Hughie Fury                         |  195.34
 Frank Galarza                       |  195.30
 Michael Hunter                      |  194.46
 Dmitry Sukhotsky                    |  194.29
 Nawaphon Por Chokchai               |  193.81
 Vasily Lepikhin                     |  193.72
 Andres Gutierrez                    |  192.10
 Scott Cardle                        |  192.08
 Leonardo Zappavigna                 |  191.98
 Zou Shiming                         |  191.45
 Jake Carr                           |  191.38
 Julio Ceja                          |  191.24
 William Silva                       |  190.99
 Dierry Jean                         |  190.46
 Chonlatarn Piriyapinyo              |  189.51
 McWilliams Arroyo                   |  189.18
 Petch Sor Chitpattana               |  188.82
 Lee Haskins                         |  187.97
 Jordan Shimmell                     |  187.74
 Edis Tatli                          |  187.06
 Ivan Montero                        |  186.63
 Aslanbek Kozaev                     |  186.60
 Xolisani Ndongeni                   |  186.18
 Roberto Ortiz                       |  185.91
 Hiroki Okada                        |  185.88
 Emmanuel Robles                     |  185.59
 Pedro Campa                         |  185.40
 Jomthong Chuwatana                  |  185.14
 Andrzej Fonfara                     |  184.56
 Denis Boytsov                       |  184.35
 Eddie Ramirez                       |  182.92
 Yasmany Consuegra                   |  182.52
 Roman Andreev                       |  181.61
 Khalid Yafai                        |  181.06
 Kyotaro Fujimoto                    |  180.66
 Stanislav Kashtanov                 |  179.68
 Julius Jackson                      |  179.04
 Movsur Yusupov                      |  177.88
 Mikael Zewski                       |  176.55
 Angel Camacho Jr                    |  176.46
 Selcuk Aydin                        |  175.87
 Vic Pasillas                        |  175.50
 Jose A Gonzalez                     |  175.46
 Jamie McDonnell                     |  175.38
 Hekkie Budler                       |  175.19
 Eemeli Katajisto                    |  175.16
 Sean Monaghan                       |  174.78
 Vic Darchinyan                      |  174.26
 Orlando Fiordigiglio                |  174.24
 Pungluang Sor Singyu                |  173.90
 Alexandru Jur                       |  173.69
 Jhonny Gonzalez                     |  173.31
 Dmitry Chudinov                     |  172.68
 Makazole Tete                       |  172.31
 Felix Sturm                         |  172.28
 Angel Rodriguez                     |  171.76
 Robert Easter                       |  171.55
 Marek Matyja                        |  170.19
 Michael Wallisch                    |  169.62
 Dusty Hernandez Harrison            |  168.95
 Oscar Molina                        |  168.50
 Paul Fleming                        |  168.24
 Pawel Kolodziej                     |  168.05
 Juan Carlos Sanchez Jr              |  166.10
 Tom Doran                           |  165.78
 Yudel Jhonson                       |  165.33
 Reynaldo Ojeda                      |  164.95
 Jhonatan Romero                     |  162.69
 Daniel Echeverria                   |  161.94
 Roberto Garcia                      |  161.92
 Ivan Najera                         |  161.57
 Sirimongkol Singwancha              |  161.38
 David Lemieux                       |  161.35
 David Avanesyan                     |  160.93
 Alantez Fox                         |  160.16
 Willie Monroe Jr                    |  160.08
 Juan Diaz                           |  160.08
 Jeff Horn                           |  159.39
 Emmanuel Tagoe                      |  159.27
 Jamie Cox                           |  158.23
 David Price                         |  157.88
 Igor Mikhalkin                      |  157.79
 Luca Giacon                         |  157.42
 Tureano Johnson                     |  157.36
 Kevin Satchell                      |  156.24
 Anthony Dirrell                     |  155.61
 Jaider Parra                        |  155.46
 Ionut Dan Ion                       |  154.47
 Sergey Rabchenko                    |  154.08
 Liam Smith                          |  153.99
 Akira Yaegashi                      |  153.99
 Yuki Beppu                          |  153.92
 Isa Akberbayev                      |  153.49
 Pedro Guevara                       |  153.05
 Ezequiel Osvaldo Maderna            |  151.88
 Andre Berto                         |  151.84
 Domonique Dolton                    |  151.17
 Samuel Peter                        |  150.15
 Roman Morales                       |  149.65
 Anthony Peterson                    |  149.59
 Juan Carlos Gomez                   |  148.48
 Gary Sykes                          |  148.16
 Daud Yordan                         |  147.94
 Guillaume Frenois                   |  147.94
 Travis Peterkin                     |  147.90
 Karo Murat                          |  147.87
 Keita Obara                         |  147.65
 Deivi Julio Bassa                   |  147.61
 Jarrod Fletcher                     |  147.28
 Michael Perez                       |  147.27
 Marcin Rekowski                     |  146.74
 Kanat Islam                         |  146.34
 Dillian Whyte                       |  145.99
 Sergio Puente                       |  145.78
 Paul Butler                         |  144.83
 Max Bursak                          |  144.65
 Carlos Ocampo                       |  144.21
 David Zegarra                       |  143.51
 Viorel Simion                       |  142.51
 Alberto Guevara                     |  142.35
 Rodrigo Garcia                      |  141.71
 Oscar Cantu                         |  141.45
 Shawn Estrada                       |  141.44
 Michele Di Rocco                    |  141.40
 Joel Brunker                        |  141.35
 Odlanier Solis                      |  141.26
 Nicolas Gonzalez                    |  141.24
 Jose Uzcategui                      |  140.79
 Reiya Konishi                       |  140.01
 Hairon Socarras                     |  139.40
 Marco Antonio Rubio                 |  139.35
 Mauro Maximiliano Godoy             |  138.99
 Enrico Koelling                     |  138.98
 Devis Boschiero                     |  138.72
 Tavoris Cloud                       |  137.91
 Jesus Gutierrez                     |  137.86
 Gary O'Sullivan                     |  137.72
 John Thompson                       |  137.63
 Emanuele Blandamura                 |  137.51
 Malcolm Tunacao                     |  136.28
 Ahmed Elbiali                       |  135.53
 Eddie Gomez                         |  135.00
 Zhanat Zhakiyanov                   |  134.90
 Jose Carlos Ramirez                 |  134.68
 Logan McGuinness                    |  134.44
 Nadjib Mohammedi                    |  134.34
 Mitch Buckland                      |  134.24
 Ronny Rios                          |  133.93
 Vincent Feigenbutz                  |  132.49
 Zac Dunn                            |  132.07
 Sharif Bogere                       |  132.03
 Carmine Tommasone                   |  131.83
 Luis Franco                         |  130.95
 Amir Mansour                        |  130.90
 Miguel Berchelt                     |  130.59
 Antonio Martinez                    |  130.57
 Ruben Nieto                         |  130.40
 Eduardo Ramirez                     |  130.27
 Vyacheslav Shabranskyy              |  129.90
 Eamonn O'Kane                       |  129.87
 Travis Scott                        |  128.74
 Omar Tienda                         |  128.73
 Kiko Martinez                       |  128.60
 Stamp Kiatniwat                     |  128.58
 Chris Jenkins                       |  127.70
 Maurice Hooker                      |  127.41
 Chris Avalos                        |  127.40
 Matteo Modugno                      |  127.07
 Bilal Laggoune                      |  126.86
 Gustavo Morales                     |  126.85
 Brad Pitt                           |  126.50
 Cesar Villarraga                    |  126.29
 Braulio Rodriguez                   |  125.99
 Radivoje Kalajdzic                  |  125.95
 Luis Ortiz                          |  125.76
 Diego De La Hoya                    |  125.16
 Masayoshi Hashizume                 |  124.38
 John Karl Sosa                      |  124.35
 Sergey Lipinets                     |  124.30
 Ruslan Provodnikov                  |  124.29
 Alejandro Davila                    |  124.10
 Mauricio Herrera                    |  124.10
 Yazid Amghar                        |  123.62
 Gary Buckland                       |  123.44
 Predrag Radosevic                   |  123.25
 Mark Magsayo                        |  123.18
 Mickey Bey                          |  123.14
 Soslan Tedeev                       |  122.96
 Zolani Tete                         |  122.91
 Will Tomlinson                      |  122.90
 Mian Hussain                        |  122.77
 Guy Robb                            |  122.46
 Rau'shee Warren                     |  122.37
 Jan Zaveck                          |  122.29
 Petchchorhae Kokietgym              |  122.28
 Yamaguchi Falcao                    |  122.23
 Mirco Ricci                         |  121.95
 John Riel Casimero                  |  121.48
 Adrian Hernandez                    |  120.20
 Schiller Hyppolite                  |  119.66
 Emmanuel De Jesus                   |  119.64
 Mario Munoz                         |  119.62
 Teiru Kinoshita                     |  119.44
 Gevorg Khatchikian                  |  119.14
 Sod Kokietgym                       |  118.57
 Hizni Altunkaya                     |  118.32
 Jorge Linares                       |  118.01
 Daniel Rosas                        |  117.97
 Brian Viloria                       |  117.69
 Ramal Amanov                        |  117.61
 Juan Ubaldo Cabrera                 |  117.51
 Adones Cabalquinto                  |  117.27
 Johan Perez                         |  117.21
 Istvan Szili                        |  117.18
 J'Leon Love                         |  116.82
 Jorge Lara                          |  116.33
 Curtis Stevens                      |  116.00
 Ola Afolabi                         |  115.50
 Roy Jones Jr                        |  115.46
 Suyon Takayama                      |  115.30
 Simpiwe Vetyeka                     |  115.23
 Khedafi Djelkhir                    |  115.02
 Damir Beljo                         |  114.89
 Jonathan Victor Barros              |  114.79
 Beibut Shumenov                     |  114.60
 Juan Dominguez                      |  114.38
 Roamer Alexis Angulo                |  114.37
 Craig Baker                         |  113.27
 Argenis Lopez                       |  112.96
 Reece Papuni                        |  112.68
 Omar Douglas                        |  112.50
 Rey Bautista                        |  112.31
 Bahodir Mamadjonov                  |  112.26
 Alfredo Angulo                      |  112.13
 Macbute Sinyabi                     |  111.53
 Rob Brant                           |  111.51
 Immanuwel Aleem                     |  111.47
 Emmanuel Taylor                     |  110.61
 Hiram Gallardo                      |  110.53
 Muhammad Harazi                     |  110.34
 Sergio Garcia                       |  110.33
 Kongthara KKP                       |  110.21
 Timo Schwarzkopf                    |  109.91
 Mike Jones                          |  109.89
 Phil Lo Greco                       |  109.80
 Adeilson Dos Santos                 |  109.58
 Louis Cruz                          |  109.57
 Michal Cieslak                      |  109.46
 Rocco Santomauro                    |  109.32
 Brandon Cook                        |  109.19
 Thabo Sonjica                       |  109.11
 D'Mitrius Ballard                   |  108.67
 Abner Cotto                         |  108.54
 Christian Hammer                    |  108.16
 Kevin Bizier                        |  108.00
 Sebastian Diaz                      |  107.93
 Humberto Soto                       |  107.82
 Benjamin Kalinovic                  |  107.73
 James Dickens                       |  107.68
 Marco Antonio Periban               |  107.64
 Caleb Truax                         |  107.64
 Javier Francisco Maciel             |  107.40
 Stephane Jamoye                     |  107.19
 Fernando Guerrero                   |  107.11
 Marlon Tapales                      |  106.43
 Przemyslaw Runowski                 |  106.37
 Goekalp Oezekler                    |  106.35
 Nuhu Lawal                          |  106.11
 Viskhan Murzabekov                  |  105.93
 Joe Selkirk                         |  105.75
 Ryad Merhy                          |  105.29
 Alex Saucedo                        |  105.16
 Michael Zerafa                      |  104.99
 Iago Kiladze                        |  104.48
 Rico Ramos                          |  104.27
 Paul Spadafora                      |  104.24
 Julian Ramirez                      |  104.23
 Agit Kabayel                        |  103.76
 Felipe Orucuta                      |  103.58
 Lajos Mark Nagy                     |  103.52
 Regis Prograis                      |  103.37
 Artem Karpets                       |  103.22
 Denton Daley                        |  103.08
 Diego Ricardo Santillan             |  102.98
 Eric Johnson                        |  102.79
 Ismail Muwendo                      |  102.19
 Yukinori Oguni                      |  101.70
 Sergiy Derevyanchenko               |  101.37
 Sasha Yengoyan                      |  101.31
 Juan Jose Jurado                    |  101.26
 John Jackson                        |  101.08
 Luis Orlando Del Valle              |  101.02
 Bradley Skeete                      |  100.99
 Prichard Colon                      |  100.87
 Eudy Bernardo                       |  100.67
 Avtandil Khurtsidze                 |  100.66
 Min-Wook Kim                        |  100.64
 Fernando Pina                       |  100.46
 Carlos Buitrago                     |  100.31
 Vernon Paris                        |  100.08
 Philip Sutcliffe Jnr                |   99.99
 Richar Abril                        |   99.76
 Nikola Sjekloca                     |   99.70
 Hugo Ruiz                           |   99.58
 Wilfredo Vazquez Jr                 |   99.54
 Alberto Mercado                     |   99.45
 Andy Vences                         |   99.19
 Paulus Moses                        |   99.09
 Donnie Nietes                       |   98.96
 Sandor Martin                       |   98.87
 Ken Shiro                           |   98.82
 Brandon Adams                       |   98.77
 Jack Tepora                         |   98.50
 Chalermpol Singwancha               |   98.39
 Keith Tapia                         |   97.93
 Suguru Muranaka                     |   97.90
 Junior Anthony Wright               |   97.84
 Ronald Gavril                       |   97.71
 Sakio Bika                          |   97.58
 Rafael Mensah                       |   97.35
 Daouda Sow                          |   97.22
 Deniz Ilbay                         |   97.17
 Franz Rill                          |   97.05
 Hidenori Otake                      |   97.04
 Trevor McCumby                      |   96.99
 Michael Walsh                       |   96.66
 Sonny Bill Williams                 |   96.50
 Ryuji Hara                          |   96.18
 Christopher Rebrasse                |   96.15
 Masaru Sueyoshi                     |   96.15
 Dave Penalosa                       |   95.96
 Jose Felix Jr                       |   95.95
 Isaac Real                          |   95.85
 Mercito Gesta                       |   95.80
 Oleksandr Gvozdyk                   |   95.71
 Patrick Hyland                      |   95.34
 Emmanuel Lartei Lartey              |   94.88
 Vage Sarukhanyan                    |   94.85
 Neil John Tabanao                   |   94.81
 Harmonito Dela Torre                |   94.62
 Ghislain Maduma                     |   94.10
 Luis Arias                          |   94.07
 Oleg Malinovskiy                    |   93.75
 Zsolt Bedak                         |   93.67
 Alfonso Gomez                       |   93.52
 Dante Jardon                        |   93.42
 Paul Kamanga                        |   93.32
 Luis Concepcion                     |   93.16
 Ryan Martin                         |   93.05
 Christian Araneta                   |   93.02
 Hector David Saldivia               |   92.90
 Aaron Alameda                       |   92.86
 Yusaku Kuga                         |   92.80
 Isaac Dogboe                        |   92.76
 Artemio Reyes                       |   92.46
 Luciano Leonel Cuello               |   92.30
 Carlos Molina                       |   92.11
 Oleg Yefimovych                     |   92.02
 Takuma Inoue                        |   91.97
 Roberto Arriaza                     |   91.91
 Manny Robles                        |   91.55
 Mirko Larghetti                     |   91.35
 Julian Rodriguez                    |   91.07
 Brian Rose                          |   90.95
 Antonio Tarver                      |   90.94
 Marvin Sonsona                      |   90.75
 Jonathan Maicelo                    |   90.69
 Damian Ezequiel Bonelli             |   90.26
 Gary Cornish                        |   90.01
 Emanuele Della Rosa                 |   89.92
 Edgar Sosa                          |   89.89
 Sergio Mora                         |   89.84
 Florin Cardos                       |   89.47
 Panomroonglek Kaiyanghadaogym       |   89.42
 Patryk Szymanski                    |   89.22
 Yves Ngabu                          |   89.03
 Richard Towers                      |   88.87
 Dmitry Bivol                        |   88.79
 Rodrigo Guerrero                    |   88.77
 Mikka Shonena                       |   88.69
 Vitaliy Kopylenko                   |   88.59
 Alexis Diaz                         |   88.37
 Miles Shinkwin                      |   88.18
 Otto Wallin                         |   87.77
 Richard Barrios                     |   87.76
 Yuichiro Kasuya                     |   87.50
 Brandon Bennett                     |   87.38
 Stephen Ormond                      |   87.33
 Patrick Mukala                      |   87.12
 Sakaria Lukas                       |   87.05
 Yodmongkol Vor Saengthep            |   87.02
 Joel Julio                          |   87.01
 Juan Funez                          |   86.92
 Vaginak Tamrazyan                   |   86.92
 Alexis Boureima Kabore              |   86.67
 Nieky Holzken                       |   86.38
 Adrian Vargas                       |   86.29
 Kyrone Davis                        |   86.27
 Imre Szello                         |   86.07
 Anthony Buttigieg                   |   86.02
 Robert Berridge                     |   86.00
 Stivens Bujaj                       |   85.92
 Constantin Bejenaru                 |   85.79
 Sam Sheedy                          |   85.53
 Jamel Herring                       |   85.52
 Steven Butler                       |   85.48
 Eduard Gutknecht                    |   85.31
 Lukasz Janik                        |   85.25
 Matias Ariel Vidondo                |   85.23
 Emiliano Dominguez Rodriguez        |   84.92
 Levan Ghvamichava                   |   84.92
 Edmund Gerber                       |   84.87
 Charles Hatley                      |   84.70
 Tommy Martin                        |   84.51
 Alexander Brand                     |   84.50
 Clarence Booth                      |   84.21
 Bradley Saunders                    |   84.17
 Nick DeLomba                        |   83.99
 Emmanuel Rodriguez                  |   83.89
 Eric Hunter                         |   83.88
 Ryoichi Taguchi                     |   83.81
 Charlie Ota                         |   83.79
 Oscar Ahlin                         |   83.66
 David Sanchez                       |   83.42
 Erick De Leon                       |   83.28
 Gianluca Branco                     |   83.25
 Breidis Prescott                    |   83.24
 Dawid Kostecki                      |   83.21
 Abel Ramos                          |   83.20
 Karen Yengoyan                      |   82.96
 Will Rosinsky                       |   82.91
 Henry Lundy                         |   82.86
 Jose Perez                          |   82.86
 Eduardo Galindo                     |   82.70
 Shun Kubo                           |   82.64
 Toshiyuki Igarashi                  |   82.58
 Cameron Hammond                     |   82.47
 Craig Evans                         |   82.46
 Javier Molina                       |   82.43
 Gabriel Campillo                    |   82.43
 Giacobbe Fragomeni                  |   82.35
 Mike Lee                            |   82.11
 Laid Ait Chaouche                   |   82.08
 Claudio Marrero                     |   82.07
 Trevor Bryan                        |   81.97
 Alex Theran                         |   81.92
 Takumi Sakae                        |   81.89
 Viktor Plotnykov                    |   81.87
 Anthony Cacace                      |   81.81
 Nikolas Charalampous                |   81.76
 Victor Ortiz                        |   81.69
 Guido Nicolas Pitto                 |   81.64
 Felix Alvarado                      |   81.58
 Ceferino Rodriguez                  |   81.21
 Robin Krasniqi                      |   81.20
 Liam Williams                       |   81.07
 Ahmad Jumaai                        |   80.94
 Mark Bernaldez                      |   80.94
 Tshifhiwa Munyai                    |   80.48
 Alexander Johnson                   |   80.37
 Louis Rose                          |   80.33
 BJ Flores                           |   80.28
 Bryant Perrella                     |   79.93
 Takahiro Ao                         |   79.86
 Isidro Ranoni Prieto                |   79.76
