BEGIN
                name                 |   str   
-------------------------------------+---------
 Floyd Mayweather Jr                 | 7792.96
 Terence Crawford                    | 4523.58
 Carl Froch                          | 3500.35
 Danny Garcia                        | 3352.79
 Wladimir Klitschko                  | 2712.92
 Kell Brook                          | 2642.50
 Gennady Golovkin                    | 2580.18
 Guillermo Rigondeaux                | 2543.21
 Billy Joe Saunders                  | 2459.15
 Amnat Ruenroeng                     | 2425.47
 Keith Thurman                       | 2255.81
 Jermell Charlo                      | 2107.10
 Jessie Vargas                       | 2067.03
 Tyson Fury                          | 2019.88
 Alexander Povetkin                  | 2007.80
 Nicholas Walters                    | 1960.12
 Tomoki Kameda                       | 1724.31
 Timothy Bradley Jr                  | 1699.67
 Saul Alvarez                        | 1681.75
 Roman Gonzalez                      | 1670.95
 Sergey Kovalev                      | 1421.87
 Sadam Ali                           | 1409.06
 Carl Frampton                       | 1366.34
 Demetrius Andrade                   | 1354.47
 Deontay Wilder                      | 1278.82
 Yuriorkis Gamboa                    | 1239.34
 Robert Helenius                     | 1228.76
 Kazuto Ioka                         | 1195.00
 Shinsuke Yamanaka                   | 1154.13
 Naoya Inoue                         | 1125.31
 Kubrat Pulev                        | 1105.27
 Nonito Donaire                      | 1084.96
 Erkan Teper                         | 1050.48
 Brad Solomon                        | 1048.23
 Viktor Postol                       | 1027.12
 Leo Santa Cruz                      | 1017.63
 Andre Dirrell                       |  992.76
 Peter Quillin                       |  989.09
 Takashi Uchiyama                    |  981.19
 Shawn Porter                        |  977.06
 Adonis Stevenson                    |  954.31
 George Groves                       |  951.40
 Bryant Jennings                     |  935.37
 Edwin Rodriguez                     |  933.95
 Carlos Diaz Ramirez                 |  913.86
 Dejan Zlaticanin                    |  863.45
 Gilberto Ramirez Sanchez            |  860.24
 Manny Pacquiao                      |  858.08
 Terry Flanagan                      |  851.85
 Eleider Alvarez                     |  848.34
 Josh Warrington                     |  828.25
 Cesar Rene Cuenca                   |  787.01
 Liam Walsh                          |  781.67
 Vyacheslav Glazkov                  |  776.58
 Romain Jacob                        |  770.98
 Evgeny Gradovich                    |  750.74
 James DeGale                        |  744.87
 Yoan Pablo Hernandez                |  738.17
 Dmitry Kudryashov                   |  700.84
 Thomas Oosthuizen                   |  692.37
 Nathan Cleverly                     |  688.41
 Arthur Abraham                      |  679.88
 Kid Galahad                         |  668.83
 Marco Huck                          |  662.96
 Darleys Perez                       |  661.75
 Juergen Braehmer                    |  659.27
 Tony Bellew                         |  647.33
 Sammy Vasquez                       |  645.57
 Konstantin Ponomarev                |  629.66
 Francisco Vargas                    |  625.44
 Lee Selby                           |  620.95
 Arif Magomedov                      |  620.83
 Hassan N'Dam N'Jikam                |  603.93
 Artur Beterbiev                     |  600.18
 Adrien Broner                       |  596.11
 Juan Carlos Payano                  |  595.13
 Hani Ansi                           |  591.38
 Rikki Naito                         |  590.79
 Rances Barthelemy                   |  581.59
 Ievgen Khytrov                      |  575.25
 Andrey Klimov                       |  571.79
 Lucas Browne                        |  566.55
 Genesis Servania                    |  562.43
 Miguel Cotto                        |  560.90
 Randy Caballero                     |  558.49
 Javier Fortuna                      |  555.77
 Dominic Boesel                      |  552.32
 Jose Zepeda                         |  550.02
 Luis Carlos Abregu                  |  548.86
 Adrian Estrella                     |  546.57
 Krzysztof Glowacki                  |  545.56
 Felix Diaz                          |  544.52
 Lucas Martin Matthysse              |  544.13
 Jesse Hart                          |  539.02
 Ali Raymi                           |  538.07
 Arthur Villanueva                   |  522.96
 Callum Smith                        |  513.03
 Maciej Sulecki                      |  507.16
 Errol Spence Jr                     |  504.18
 Richard Commey                      |  502.73
 Frankie Gomez                       |  495.08
 Jessie Magdaleno                    |  491.19
 Moises Flores                       |  488.65
 Rocky Fielding                      |  479.47
 Paulus Ambunda                      |  479.11
 Abner Mares                         |  477.53
 Daniel Jacobs                       |  477.03
 Jose Pedraza                        |  476.30
 Denis Lebedev                       |  467.93
 Joseph Parker                       |  466.55
 Tyron Zeuge                         |  458.45
 Devon Alexander                     |  458.27
 Juan Francisco Estrada              |  453.98
 Koki Kameda                         |  446.10
 Scott Quigg                         |  445.57
 Leonard Bundu                       |  444.72
 Omar Figueroa Jr                    |  444.28
 Amir Imam                           |  442.41
 Amir Khan                           |  441.66
 Dmitry Mikhaylenko                  |  440.49
 Luis Rosa                           |  435.09
 Julian Williams                     |  433.92
 Juan Manuel Marquez                 |  433.27
 Brandon Rios                        |  432.73
 Wanheng Menayothin                  |  430.32
 John Ryder                          |  424.55
 Vanes Martirosyan                   |  424.54
 Erik Skoglund                       |  420.01
 Sergio Gabriel Martinez             |  412.95
 Joel Diaz Jr                        |  410.78
 Chris Eubank Jr                     |  410.23
 Erislandy Lara                      |  408.72
 Mariusz Wach                        |  406.87
 Isaac Chilemba                      |  402.56
 Masayoshi Nakatani                  |  400.97
 Austin Trout                        |  399.71
 Jermall Charlo                      |  399.12
 Teerachai Kratingdaenggym           |  398.39
 Tony Harrison                       |  395.43
 Andy Ruiz Jr                        |  394.57
 Bryan Vasquez                       |  392.75
 Egidijus Kavaliauskas               |  392.68
 Eduard Troyanovsky                  |  387.67
 Omar Andres Narvaez                 |  387.26
 Grigory Drozd                       |  384.43
 Julio Cesar Chavez Jr               |  381.64
 Yunier Dorticos                     |  380.88
 Francesco Pianeta                   |  378.70
 Patrick Teixeira                    |  375.75
 Shohei Omori                        |  372.69
 Emiliano Marsili                    |  372.22
 Anthony Joshua                      |  370.22
 Gerald Washington                   |  369.10
 Miguel Vazquez                      |  367.92
 Ricky Burns                         |  367.84
 Jose Benavidez                      |  366.80
 Arnold Gjergjaj                     |  362.32
 Carlos Cuadras                      |  361.05
 Tony Thompson                       |  359.03
 Thomas Dulorme                      |  357.72
 Jono Carroll                        |  357.50
 Fedor Chudinov                      |  357.02
 Lamont Peterson                     |  355.93
 Jermain Taylor                      |  353.50
 Oleydong Sithsamerchai              |  351.22
 Frankie Gavin                       |  349.00
 Martin Murray                       |  348.40
 Artur Szpilka                       |  345.52
 McJoe Arroyo                        |  344.26
 Daniel Geale                        |  341.46
 Larry Ekundayo                      |  339.47
 Matias Carlos Adrian Rueda          |  339.13
 Cletus Seldin                       |  336.04
 Chris Algieri                       |  336.03
 Ruslan Chagaev                      |  332.07
 Miguel Marriaga                     |  329.79
 Ivan Redkach                        |  329.78
 Carlos Takam                        |  328.80
 Juan Carlos Reveco                  |  327.99
 Kamil Laszczyk                      |  327.57
 Sho Ishida                          |  324.05
 Krzysztof Wlodarczyk                |  322.04
 Fredrick Lawson                     |  322.02
 Murat Gassiev                       |  320.85
 Jayson Velez                        |  320.25
 Julius Indongo                      |  319.94
 Ryota Murata                        |  319.32
 Alexander Ustinov                   |  319.24
 Rakhim Chakhkiev                    |  316.20
 Rey Vargas                          |  315.24
 Taras Shelestyuk                    |  315.03
 Ray Robinson                        |  314.51
 Joan Guzman                         |  313.80
 Kamil Szeremeta                     |  312.15
